competition,season,team,player_name,status,primary_role,batting_role,bowling_role,matches_played,batting_innings,runs,balls_faced,fours,sixes,dismissals,batting_strike_rate,batting_average,bowling_innings,balls_bowled,runs_conceded,wickets,bowling_economy,bowling_strike_rate,dot_balls,notes,source_note
IPL,2026,Sunrisers Hyderabad,Liam Livingstone,Verified from Kaggle 2026 delivery data,All Rounder,,,2,2,15,25,0,1,2,60.0,7.5,0,0,0,0,,,17,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Nitish Kumar Reddy,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Onkar Tarmale,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Pat Cummins,Verified from Kaggle 2026 delivery data,Bowler,,,8,3,30,19,1,3,3,157.89,10.0,8,192,301,8,9.41,24.0,8,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Praful Hinge,Verified from Kaggle 2026 delivery data,Bowler,,,7,2,3,9,0,0,1,33.33,3.0,7,156,303,14,11.65,11.14,7,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Ravichandran Smaran,Verified from Kaggle 2026 delivery data,Batter,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Sakib Hussain,Verified from Kaggle 2026 delivery data,Bowler,,,11,1,5,7,1,0,0,71.43,,11,252,392,16,9.33,15.75,5,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Salil Arora,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,11,11,156,98,11,11,7,159.18,22.29,0,0,0,0,,,34,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Shivam Mavi,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Shivang Kumar,Verified from Kaggle 2026 delivery data,All Rounder,,,13,6,53,46,6,1,6,115.22,8.83,13,233,373,11,9.61,21.18,19,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Travis Head,Verified from Kaggle 2026 delivery data,Batter,,,15,15,410,241,46,23,15,170.12,27.33,1,6,7,1,7.0,6.0,96,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Sunrisers Hyderabad,Zeeshan Ansari,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
